RecId,LineId,MakeTime,StackNum,PlcMsg,ErrMsg,PrintNum,Serial
1001,1,7/23/2026 14:30,1,(65 chars message placeholder......................),，1,,
1002,1,7/23/2026 14:30,2,(65 chars message placeholder......................),，1,,
1003,1,7/23/2026 14:30,3,(65 chars message placeholder......................),，1,,
1004,1,7/23/2026 14:30,1,(65 chars message placeholder......................),，1,,
1005,1,7/23/2026 14:30,2,(65 chars message placeholder......................),，1,,
,,,,,,,
1,1,7/25/2026 14:56,1,TEST ITEM                                                  ,,1,20250446554245550130285800029
2,1,7/25/2026 15:02,2,TEST ITEM                                                  ,,1,%20250446554245550130285800029
3,1,7/25/2026 17:00,3, 3                               FL9036MOD1P4                    ,,1,
4,1,7/25/2026 17:28,1, 1                               FL9036MOD1P4                    ,,1,
5,1,7/25/2026 18:51,2, 2                               FL9036MOD1P4                    ,,1,
6,1,7/25/2026 19:47,3, 3                               FL9036MOD1P4                    ,,1,
1006,1,7/28/2026 18:35,8, 8                               FL9036MOD1P4                    ,,1,
1007,1,7/28/2026 18:35,8, 8                               FL9036MOD1P4                    ,,1,

1008,1,2026-08-12 14:48:03, 16, 16                               FL9036MOD1P4                   ,,1,%20262246152295550310161000100
1009,1,2026-08-12 18:14:20, 17, 17                               FL9036MOD1P4                   ,,1,%20262246152295550310161000100
1010,1,2026-08-12 18:15:52, 18, 18                               FL9036MOD1P4                   ,,1,%20262246152295550310161000100
1011,1,2026-08-12 18:28:04, 19, 19                               FL9036MOD1P4                   ,,1,%20262246152295550310161000100
1012,1,2026-08-13 10:57:27, 20, 20                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1013,1,2026-08-13 10:57:33, 21, 21                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1014,1,2026-08-13 12:15:49, 22, 22                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1015,1,2026-08-13 13:26:02, 23, 23                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1016,1,2026-08-13 13:26:32, 24, 24                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1017,1,2026-08-13 13:44:22, 25, 25                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1018,1,2026-08-13 13:44:43, 26, 26                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1019,1,2026-08-13 13:48:40, 27, 27                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1020,1,2026-08-13 13:49:36, 28, 28                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1021,1,2026-08-13 13:49:52, 29, 29                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1022,1,2026-08-13 13:50:34, 30, 30                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1023,1,2026-08-13 13:52:02, 31, 31                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1024,1,2026-08-13 14:33:27, 32, 32                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1025,1,2026-08-13 14:36:21, 33, 33                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1026,1,2026-08-13 15:12:41, 34, 34                               013536MOD1P4                   ,,1,%20262250000005550010100000000
1027,1,2026-08-13 15:14:06, 35, 35                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1028,1,2026-08-13 15:14:12, 36, 36                               FL9036MOD1P4                   ,,1,%20262256152295550310161000100
1029,1,2026-08-14 14:01:59, 37, 37                               FL9036MOD1P4                   ,,1,%20262266152295550310161000100
1030,1,2026-08-24 10:35:09, 38, 38                               FL9036MOD1P4                   ,,1,%20262366152295550310161000100
1031,1,2026-08-24 11:26:05, 39, 39                               FL9036MOD1P4                   ,,1,%20262366152295550310161000100
